Rand
select, 0.058543, 0.458301, 1.28626, 5.1151, 46.1622, 129.71
insert, 0.040436, 0.351945, 0.942064, 3.79093, 34.898, 90.5689
bubble, 0.185603, 2.0953, 6.49622, 28.0319, 261.171, 686.396
shaker, 0.167631, 1.89388, 5.28208, 22.219, 202.207, 550.899
shell, 0.00161, 0.005564, 0.010382, 0.022955, 0.078592, 0.120785 
heap, 0.002346, 0.007573, 0.012158, 0.027331, 0.087049, 0.136075
merge, 0.04211, 0.122356, 0.197886, 0.374014, 1.17322, 1.95978
quick, 0.00111, 0.003432, 0.005511, 0.010645, 0.033481, 0.056216
counting, 0.003954, 0.004205, 0.004371, 0.004487, 0.008731, 0.009096
radix, 0.000553, 0.002077, 0.003229, 0.00702, 0.023755, 0.036336
flash, 0.000264, 0.00094, 0.001732, 0.003406, 0.014895, 0.024484

Near
select, 0.056752, 0.459603, 1.28132, 5.12516, 47.989, 126.684
insert, 0.000145, 0.000382, 0.001018, 0.001964, 0.005873, 0.009744
bubble, 0.065931, 0.594739, 1.69533, 6.5285, 60.6319, 156.261
shaker, 0.000431, 0.000912, 0.001797, 0.006577, 0.014924, 0.023127
shell, 0.000555, 0.001457, 0.002638, 0.006251, 0.022375, 0.02681
heap, 0.0022, 0.00691, 0.01121, 0.024612, 0.065877, 0.101449
merge, 0.041337, 0.119698, 0.194898, 0.37055, 1.17095, 1.92741
quick, 0.000219, 0.000435, 0.001264, 0.001716, 0.006403, 0.008368
counting, 0.003212, 0.002938, 0.003476, 0.004077, 0.005411, 0.00623
radix, 0.000519, 0.001948, 0.003065, 0.00699, 0.023399, 0.036642
flash, 0.000325, 0.000716, 0.001265, 0.002905, 0.007943, 0.010145

Sort
select, 0.057869, 0.459257, 1.2952, 5.62696, 46.5368, 124.289
insert, 0.000021, 0.000063, 0.000109, 0.00022, 0.000719, 0.001255
bubble, 0.065825, 0.609931, 1.63932, 6.53066, 60.1778, 155.785
shaker, 0.000012, 0.000037, 0.000084, 0.000178, 0.000364, 0.000836
shell, 0.000316, 0.001383, 0.002034, 0.004208, 0.016537, 0.021288
heap, 0.001623, 0.006671, 0.011426, 0.026771, 0.072783, 0.102843
merge, 0.042687, 0.120253, 0.197761, 0.369203, 1.16874, 1.93325
quick, 0.000217, 0.000407, 0.000812, 0.001679, 0.007338, 0.008399
counting, 0.002253, 0.002974, 0.003154, 0.003568, 0.004511, 0.00604
radix, 0.000587, 0.001953, 0.003058, 0.007128, 0.02303, 0.037298
flash, 0.000324, 0.000642, 0.001004, 0.002036, 0.010335, 0.009678

Rev
select, 0.061788, 0.513556, 1.5255, 5.79208, 52.7115, 140.803
insert, 0.080077, 0.699052, 1.9577, 7.7151, 72.3781, 183.361
bubble, 0.284325, 2.69876, 7.56983, 29.585, 269.217, 718.749
shaker, 0.302891, 2.7869, 7.4226, 30.5067, 276.025, 762.743
shell, 0.000418, 0.001782, 0.00428, 0.008626, 0.023653, 0.030035
heap, 0.001538, 0.00612, 0.011387, 0.025298, 0.072835, 0.096763
merge, 0.042207, 0.120794, 0.196447, 0.3686, 1.17752, 1.92498
quick, 0.000235, 0.000487, 0.001533, 0.001957, 0.00754, 0.009649
counting, 0.002692,	0.002865, 0.00313, 0.00323, 0.004803, 0.006733
radix, 0.000538, 0.001918, 0.003264, 0.006939, 0.023631, 0.036629 
flash, 0.000205, 0.0006, 0.000979, 0.002167, 0.010219, 0.009729
