Rand
select, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
insert, 50548185, 451391122, 1247856356, 4998038882, 45068966033, 124932385818
bubble, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
shaker, 66045414, 602281439, 1668762465, 6660985631, 60004532806, 166507931950
shell, 656929, 2211491, 4699787, 10138155, 34511614, 66345880
heap, 481109, 1631495, 2869201, 6140357, 20303699, 35292565
merge, 573551, 1907373, 3332637, 7065804, 23081869, 39884261
quick, 257852, 883281, 1564470, 3265043, 10772596, 18777113
counting, 1030005, 1090005, 1150005, 1300005, 1900005, 2500005
radix, 100151, 360186, 600186, 1200186, 4200221, 7000221
flash, 102039, 297509, 482440, 1009058, 2871945, 4893959

Near
select, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
insert, 174358, 447158, 751150, 1721942, 4296338, 8258606
bubble, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
shaker, 190439, 404366, 758185, 1809702, 5529022, 7708234
shell, 414478, 1307137, 2364449, 4906807, 16975514, 28436334
heap, 499050, 1682778, 2960954, 6325163, 20860205, 36161386
merge, 498062, 1599533, 2838865, 5939638, 19272808, 32787281
quick, 149087, 485598, 881119, 1862204, 5889356, 10048638
counting, 1030005, 1090005, 1150005, 1300005, 1900005, 2500005
radix, 100151, 360186, 600186, 1200186, 4200221, 7000221
flash, 127962, 383960, 639964, 1279966, 3839964, 6399960

Sort
select, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
insert, 29998, 89998, 149998, 299998, 899998, 1499998
bubble, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
shaker, 20001, 60001, 100001, 200001, 600001, 1000001
shell, 360042, 1170050, 2100049, 4500051, 15300061, 25500058
heap, 499035, 1682716, 2960913, 6325398, 20861202, 36183362
merge, 465243, 1529915, 2672827, 5645659, 18345947, 31517851
quick, 149055, 485546, 881083, 1862156, 5889300, 10048590
counting, 1030005, 1090005, 1150005, 1300005, 1900005, 2500005
radix, 100151, 360186, 600186, 1200186, 4200221, 7000221
flash, 127992, 383992, 639992, 1279992, 3839992, 6399992

Rev
select, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
insert, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
bubble, 100009999, 900029999, 2500049999, 10000099999, 90000299999, 250000499999
shaker, 100005000, 900015000, 2500025000, 10000050000, 90000150000, 250000250000
shell, 475175, 1554051, 2844628, 6089190, 20001852, 33857581
heap, 463401, 1581468, 2782198, 5953393, 19781637, 34456560
merge, 466442, 1543466, 2683946, 5667898, 18408314, 31836410
quick, 159070, 515556, 931094, 1962168, 6189320, 10548604
counting, 1030005, 1090005, 1150005, 1300005, 1900005, 2500005
radix, 100151, 360186, 600186, 1200186, 4200221, 7000221
flash, 110501, 331501, 552501, 1105001, 3315001, 5525001
